name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213171652
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213171652
Valentin AYMON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213171652
Aristide BAGNOUD,PDCC,Non/Nein,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213171652
Jasmine BALLAY,PLR,Non/Nein,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213171652
Benoît BARRAS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213171652
Jérôme BEFFA,CSPO,Oui/Ja,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213171652
Benoît BENDER,PDCB,Oui/Ja,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213171652
Jasmin BERCHTOLD,SVPO,Non/Nein,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213171652
Charline BERGUERAND,PDCB,Oui/Ja,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213171652
Paul BIFFIGER,SVPO,Non/Nein,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213171652
Nathalie BINER,SVPO,Non/Nein,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213171652
Gwénolé BLANCHET,Les Verts,Oui/Ja,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213171652
Joël BONNARD,PDCC,Non/Nein,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213171652
Claire-Lise BONVIN,PDCC,Non/Nein,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213171652
Didier BONVIN,PLR,Non/Nein,PLR,PLR,H,13.02.1958,Valais romand,Sion,Député-e suppléant-e,20191213171652
Ruth BORNET-STUDER,PLR,Non/Nein,PLR,PLR,F,08.12.1960,Valais romand,Sion,Député-e suppléant-e,20191213171652
Nino BRUNNER,CVPO,Oui/Ja,CVPO,PDC,H,30.08.1988,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213171652
Blaise CARRON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,03.04.1974,Valais romand,Monthey,Député-e,20191213171652
Nicole CARRUPT,PLR,Oui/Ja,PLR,PLR,F,10.06.1972,Valais romand,Martigny,Député-e,20191213171652
Moreno CENTELLEGHE,PLR,Non/Nein,PLR,PLR,H,10.12.1963,Valais romand,St-Maurice,Député-e,20191213171652
Alexandre CIPOLLA,UDC,Non/Nein,UDC,UDC,H,22.11.1982,Valais romand,Monthey,Député-e,20191213171652
Christophe CLAIVAZ,PLR,Non/Nein,PLR,PLR,H,16.06.1973,Valais romand,Conthey,Député-e,20191213171652
Diego CLAUSEN,CSPO,Oui/Ja,CSPO,PDC,H,20.12.1966,Haut-Valais,Brig,Député-e,20191213171652
Charles CLERC,UDC,Non/Nein,UDC,UDC,H,29.06.1964,Valais romand,Monthey,Député-e,20191213171652
Mathieu CLERC,Les Verts,Oui/Ja,Les Verts,Les Verts,H,29.03.1989,Valais romand,Conthey,Député-e,20191213171652
Sébastien CLERC,PDCB,Oui/Ja,PDCB,PDC,H,26.04.1969,Valais romand,Monthey,Député-e suppléant-e,20191213171652
Bruno CLIVAZ,PDCC,Non/Nein,PDCC,PDC,H,10.03.1955,Valais romand,Sion,Député-e,20191213171652
David CRETTENAND,PLR,Oui/Ja,PLR,PLR,H,30.04.1976,Valais romand,Martigny,Député-e,20191213171652
Nathalie CRETTON,Les Verts,Oui/Ja,Les Verts,Les Verts,F,07.05.1968,Valais romand,Monthey,Député-e,20191213171652
Grégory D'ANDRÈS,PLR,Non/Nein,PLR,PLR,H,05.10.1983,Valais romand,Sierre,Député-e,20191213171652
Sylvain DÉFAGO,PDCB,Oui/Ja,PDCB,PDC,H,29.03.1982,Valais romand,Monthey,Député-e,20191213171652
Mathias DELALOYE,UDC,Non/Nein,UDC,UDC,H,03.12.1991,Valais romand,Conthey,Député-e,20191213171652
Marcel DELASOIE,PLR,Oui/Ja,PLR,PLR,H,17.10.1963,Valais romand,Martigny,Député-e,20191213171652
Julien DÉLÈZE,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,10.12.1986,Valais romand,Conthey,Député-e,20191213171652
Alexandre DUBUIS,Les Verts,Oui/Ja,Les Verts,Les Verts,H,24.06.1985,Valais romand,Sion,Député-e,20191213171652
Gaëtan DUBUIS,PLR,Non/Nein,PLR,PLR,H,07.11.1985,Valais romand,Martigny,Député-e suppléant-e,20191213171652
Julien DUBUIS,PLR,Non/Nein,PLR,PLR,H,09.03.1970,Valais romand,Sion,Député-e,20191213171652
Margaux DUBUIS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,01.09.1994,Valais romand,Sion,Député-e,20191213171652
Dominic EGGEL,CVPO,Oui/Ja,CVPO,PDC,H,04.11.1969,Haut-Valais,Brig,Député-e,20191213171652
Patrick EVÉQUOZ,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,18.01.1989,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Muriel FAVRE-TORELLOZ,PDCB,Oui/Ja,PDCB,PDC,F,30.04.1963,Valais romand,St-Maurice,Député-e,20191213171652
Lysiane FELLAY,PLR,Oui/Ja,PLR,PLR,F,13.09.1974,Valais romand,Entremont,Député-e suppléant-e,20191213171652
Serge FELLAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,26.10.1960,Valais romand,Martigny,Député-e,20191213171652
Jérôme FOURNIER,Les Verts,Oui/Ja,Les Verts,Les Verts,H,11.06.1984,Valais romand,St-Maurice,Député-e suppléant-e,20191213171652
Raphaël FOURNIER,PDCC,Non/Nein,PDCC,PDC,H,21.08.1966,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Urban FURRER,CSPO,Oui/Ja,CSPO,PDC,H,27.04.1957,Haut-Valais,Visp,Député-e,20191213171652
Gaby FUX-BRANTSCHEN,CVPO,Oui/Ja,CVPO,PDC,F,07.04.1964,Haut-Valais,Visp,Député-e,20191213171652
Mathieu GACHNANG,PDCC,Non/Nein,PDCC,PDC,H,25.09.1983,Valais romand,Sion,Député-e suppléant-e,20191213171652
Ilan GARCIA,UDC,Non/Nein,UDC,UDC,H,18.02.1990,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Marcel GASPOZ,PDCC,Non/Nein,PDCC,PDC,H,05.03.1952,Valais romand,Hérens,Député-e,20191213171652
Méryl GENOUD,PLR,Non/Nein,PLR,PLR,H,08.04.1988,Valais romand,Sierre,Député-e,20191213171652
Vinciane GLASSEY,PDCC,Non/Nein,PDCC,PDC,F,01.01.1974,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Rolet GRUBER,CSPO,Oui/Ja,CSPO,PDC,H,23.06.1954,Haut-Valais,Visp,Député-e,20191213171652
Pierre GUALINO,PDCB,Oui/Ja,PDCB,PDC,H,16.12.1962,Valais romand,Martigny,Député-e,20191213171652
Jean-Pierre GUEX,PDCB,Oui/Ja,PDCB,PDC,H,04.11.1957,Valais romand,Entremont,Député-e,20191213171652
Laetitia HEINZMANN BELLWALD,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,18.03.1964,Haut-Valais,Visp,Député-e suppléant-e,20191213171652
Alexia HÉRITIER,PDCC,Non/Nein,PDCC,PDC,F,14.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213171652
Mischa IMBODEN,CVPO,Oui/Ja,CVPO,PDC,H,11.10.1972,Haut-Valais,Brig,Député-e suppléant-e,20191213171652
Daniela IMHOF-JENELTEN,CVPO,Oui/Ja,CVPO,PDC,F,13.01.1972,Haut-Valais,Östlich Raron,Député-e suppléant-e,20191213171652
André IMSTEPF,SVPO,Non/Nein,SVPO,UDC,H,13.07.1969,Haut-Valais,Brig,Député-e suppléant-e,20191213171652
Urs JUON,CVPO,Oui/Ja,CVPO,PDC,H,03.06.1972,Haut-Valais,Visp,Député-e,20191213171652
Martin KALBERMATTER,CSPO,Oui/Ja,CSPO,PDC,H,23.02.1962,Haut-Valais,Westlich Raron,Député-e,20191213171652
Maude KESSI PRAZ,Les Verts,Oui/Ja,Les Verts,Les Verts,F,28.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213171652
Manfred KUONEN,CSPO,Oui/Ja,CSPO,PDC,H,28.07.1967,Haut-Valais,Leuk,Député-e suppléant-e,20191213171652
Barbara LANTHEMANN,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,29.05.1965,Valais romand,Martigny,Député-e,20191213171652
Anton LAUBER,CSPO,Oui/Ja,CSPO,PDC,H,24.09.1959,Haut-Valais,Visp,Député-e,20191213171652
Aïda LIPS,UDC,Non/Nein,UDC,UDC,F,08.10.1987,Valais romand,Martigny,Député-e suppléant-e,20191213171652
Grégory LOGEAN,UDC,Non/Nein,UDC,UDC,H,13.11.1986,Valais romand,Hérens,Député-e,20191213171652
Sarah LUYET,UDC,Non/Nein,UDC,UDC,F,19.06.1971,Valais romand,Sion,Député-e suppléant-e,20191213171652
André-Marcel MALBOIS,UDC,Non/Nein,UDC,UDC,H,31.01.1948,Valais romand,Martigny,Député-e suppléant-e,20191213171652
David MARQUIS,PDCB,Oui/Ja,PDCB,PDC,H,16.05.1988,Valais romand,Entremont,Député-e suppléant-e,20191213171652
Gervaise MARQUIS,PLR,Oui/Ja,PLR,PLR,F,15.12.1965,Valais romand,Entremont,Député-e,20191213171652
Sylvie MASSEREY ANSELIN,PLR,Non/Nein,PLR,PLR,F,05.09.1976,Valais romand,Sierre,Député-e,20191213171652
Benno MEICHTRY,CVPO,Oui/Ja,CVPO,PDC,H,12.01.1963,Haut-Valais,Leuk,Député-e,20191213171652
Robert MÉTRAILLER,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,31.05.1960,Valais romand,Sierre,Député-e,20191213171652
Delphine MICHAUD,PDCB,Oui/Ja,PDCB,PDC,F,26.05.1980,Valais romand,Monthey,Député-e suppléant-e,20191213171652
Audrey MICHELET,PDCC,Non/Nein,PDCC,PDC,F,07.04.1993,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Maxime MOIX,PDCC,Abst./Enth.,PDCC,PDC,H,14.04.1996,Valais romand,Conthey,Député-e suppléant-e,20191213171652
Marie-Angèle MOOS,Les Verts,Oui/Ja,Les Verts,Les Verts,F,28.07.1960,Valais romand,Sierre,Député-e suppléant-e,20191213171652
Marylène MOOS,UDC,Non/Nein,UDC,UDC,F,03.09.1957,Valais romand,Hérens,Député-e suppléant-e,20191213171652
Didier MORARD,PLR,Non/Nein,PLR,PLR,H,26.11.1978,Valais romand,Hérens,Député-e,20191213171652
Fabienne MORET-ROTH,PDCB,Oui/Ja,PDCB,PDC,F,09.06.1969,Valais romand,Martigny,Député-e suppléant-e,20191213171652
Xavier MOTTET,PLR,Non/Nein,PLR,PLR,H,02.11.1983,Valais romand,Monthey,Député-e,20191213171652
Richard NANCHEN,PLR,Non/Nein,PLR,PLR,H,13.05.1963,Valais romand,Sierre,Député-e suppléant-e,20191213171652
