name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213171615
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213171615
Valentin AYMON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213171615
Aristide BAGNOUD,PDCC,Oui/Ja,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213171615
Jasmine BALLAY,PLR,Non/Nein,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213171615
Benoît BARRAS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213171615
Jérôme BEFFA,CSPO,Oui/Ja,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213171615
Benoît BENDER,PDCB,Oui/Ja,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213171615
Jasmin BERCHTOLD,SVPO,Non/Nein,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213171615
Charline BERGUERAND,PDCB,Oui/Ja,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213171615
Paul BIFFIGER,SVPO,Non/Nein,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213171615
Nathalie BINER,SVPO,Non/Nein,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213171615
Gwénolé BLANCHET,Les Verts,Oui/Ja,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213171615
Joël BONNARD,PDCC,Oui/Ja,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213171615
Claire-Lise BONVIN,PDCC,Oui/Ja,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213171615
Didier BONVIN,PLR,Oui/Ja,PLR,PLR,H,13.02.1958,Valais romand,Sion,Député-e suppléant-e,20191213171615
Ruth BORNET-STUDER,PLR,Oui/Ja,PLR,PLR,F,08.12.1960,Valais romand,Sion,Député-e suppléant-e,20191213171615
Nino BRUNNER,CVPO,Oui/Ja,CVPO,PDC,H,30.08.1988,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213171615
Blaise CARRON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,03.04.1974,Valais romand,Monthey,Député-e,20191213171615
Nicole CARRUPT,PLR,Oui/Ja,PLR,PLR,F,10.06.1972,Valais romand,Martigny,Député-e,20191213171615
Moreno CENTELLEGHE,PLR,Oui/Ja,PLR,PLR,H,10.12.1963,Valais romand,St-Maurice,Député-e,20191213171615
Alexandre CIPOLLA,UDC,Oui/Ja,UDC,UDC,H,22.11.1982,Valais romand,Monthey,Député-e,20191213171615
Christophe CLAIVAZ,PLR,Oui/Ja,PLR,PLR,H,16.06.1973,Valais romand,Conthey,Député-e,20191213171615
Diego CLAUSEN,CSPO,Oui/Ja,CSPO,PDC,H,20.12.1966,Haut-Valais,Brig,Député-e,20191213171615
Charles CLERC,UDC,Oui/Ja,UDC,UDC,H,29.06.1964,Valais romand,Monthey,Député-e,20191213171615
Sébastien CLERC,PDCB,Oui/Ja,PDCB,PDC,H,26.04.1969,Valais romand,Monthey,Député-e suppléant-e,20191213171615
Bruno CLIVAZ,PDCC,Oui/Ja,PDCC,PDC,H,10.03.1955,Valais romand,Sion,Député-e,20191213171615
David CRETTENAND,PLR,Oui/Ja,PLR,PLR,H,30.04.1976,Valais romand,Martigny,Député-e,20191213171615
Nathalie CRETTON,Les Verts,Oui/Ja,Les Verts,Les Verts,F,07.05.1968,Valais romand,Monthey,Député-e,20191213171615
Grégory D'ANDRÈS,PLR,Oui/Ja,PLR,PLR,H,05.10.1983,Valais romand,Sierre,Député-e,20191213171615
Sylvain DÉFAGO,PDCB,Oui/Ja,PDCB,PDC,H,29.03.1982,Valais romand,Monthey,Député-e,20191213171615
Mathias DELALOYE,UDC,Oui/Ja,UDC,UDC,H,03.12.1991,Valais romand,Conthey,Député-e,20191213171615
Marcel DELASOIE,PLR,Oui/Ja,PLR,PLR,H,17.10.1963,Valais romand,Martigny,Député-e,20191213171615
Julien DÉLÈZE,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,10.12.1986,Valais romand,Conthey,Député-e,20191213171615
Alexandre DUBUIS,Les Verts,Abst./Enth.,Les Verts,Les Verts,H,24.06.1985,Valais romand,Sion,Député-e,20191213171615
Gaëtan DUBUIS,PLR,Oui/Ja,PLR,PLR,H,07.11.1985,Valais romand,Martigny,Député-e suppléant-e,20191213171615
Julien DUBUIS,PLR,Oui/Ja,PLR,PLR,H,09.03.1970,Valais romand,Sion,Député-e,20191213171615
Margaux DUBUIS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,01.09.1994,Valais romand,Sion,Député-e,20191213171615
Dominic EGGEL,CVPO,Oui/Ja,CVPO,PDC,H,04.11.1969,Haut-Valais,Brig,Député-e,20191213171615
Patrick EVÉQUOZ,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,18.01.1989,Valais romand,Conthey,Député-e suppléant-e,20191213171615
Muriel FAVRE-TORELLOZ,PDCB,Oui/Ja,PDCB,PDC,F,30.04.1963,Valais romand,St-Maurice,Député-e,20191213171615
Lysiane FELLAY,PLR,Oui/Ja,PLR,PLR,F,13.09.1974,Valais romand,Entremont,Député-e suppléant-e,20191213171615
Serge FELLAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,26.10.1960,Valais romand,Martigny,Député-e,20191213171615
Jérôme FOURNIER,Les Verts,Abst./Enth.,Les Verts,Les Verts,H,11.06.1984,Valais romand,St-Maurice,Député-e suppléant-e,20191213171615
Raphaël FOURNIER,PDCC,Non/Nein,PDCC,PDC,H,21.08.1966,Valais romand,Conthey,Député-e suppléant-e,20191213171615
