name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213155223
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213155223
Valentin AYMON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213155223
Aristide BAGNOUD,PDCC,Non/Nein,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213155223
Jasmine BALLAY,PLR,Oui/Ja,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213155223
Benoît BARRAS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213155223
Jérôme BEFFA,CSPO,Non/Nein,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213155223
Benoît BENDER,PDCB,Non/Nein,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213155223
Jasmin BERCHTOLD,SVPO,Oui/Ja,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213155223
Charline BERGUERAND,PDCB,Non/Nein,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213155223
Paul BIFFIGER,SVPO,Oui/Ja,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213155223
Nathalie BINER,SVPO,Oui/Ja,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213155223
Gwénolé BLANCHET,Les Verts,Non/Nein,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213155223
Joël BONNARD,PDCC,Non/Nein,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213155223
Claire-Lise BONVIN,PDCC,Non/Nein,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213155223
Didier BONVIN,PLR,Oui/Ja,PLR,PLR,H,13.02.1958,Valais romand,Sion,Député-e suppléant-e,20191213155223
Ruth BORNET-STUDER,PLR,Oui/Ja,PLR,PLR,F,08.12.1960,Valais romand,Sion,Député-e suppléant-e,20191213155223
Nino BRUNNER,CVPO,Non/Nein,CVPO,PDC,H,30.08.1988,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213155223
Blaise CARRON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,03.04.1974,Valais romand,Monthey,Député-e,20191213155223
Nicole CARRUPT,PLR,Oui/Ja,PLR,PLR,F,10.06.1972,Valais romand,Martigny,Député-e,20191213155223
Alexandre CIPOLLA,UDC,Oui/Ja,UDC,UDC,H,22.11.1982,Valais romand,Monthey,Député-e,20191213155223
Christophe CLAIVAZ,PLR,Oui/Ja,PLR,PLR,H,16.06.1973,Valais romand,Conthey,Député-e,20191213155223
Diego CLAUSEN,CSPO,Non/Nein,CSPO,PDC,H,20.12.1966,Haut-Valais,Brig,Député-e,20191213155223
Charles CLERC,UDC,Oui/Ja,UDC,UDC,H,29.06.1964,Valais romand,Monthey,Député-e,20191213155223
Mathieu CLERC,Les Verts,Non/Nein,Les Verts,Les Verts,H,29.03.1989,Valais romand,Conthey,Député-e,20191213155223
Sébastien CLERC,PDCB,Non/Nein,PDCB,PDC,H,26.04.1969,Valais romand,Monthey,Député-e suppléant-e,20191213155223
Bruno CLIVAZ,PDCC,Non/Nein,PDCC,PDC,H,10.03.1955,Valais romand,Sion,Député-e,20191213155223
David CRETTENAND,PLR,Oui/Ja,PLR,PLR,H,30.04.1976,Valais romand,Martigny,Député-e,20191213155223
Nathalie CRETTON,Les Verts,Non/Nein,Les Verts,Les Verts,F,07.05.1968,Valais romand,Monthey,Député-e,20191213155223
Grégory D'ANDRÈS,PLR,Oui/Ja,PLR,PLR,H,05.10.1983,Valais romand,Sierre,Député-e,20191213155223
Sylvain DÉFAGO,PDCB,Non/Nein,PDCB,PDC,H,29.03.1982,Valais romand,Monthey,Député-e,20191213155223
Mathias DELALOYE,UDC,Oui/Ja,UDC,UDC,H,03.12.1991,Valais romand,Conthey,Député-e,20191213155223
Julien DÉLÈZE,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,10.12.1986,Valais romand,Conthey,Député-e,20191213155223
Alexandre DUBUIS,Les Verts,Oui/Ja,Les Verts,Les Verts,H,24.06.1985,Valais romand,Sion,Député-e,20191213155223
Julien DUBUIS,PLR,Oui/Ja,PLR,PLR,H,09.03.1970,Valais romand,Sion,Député-e,20191213155223
Margaux DUBUIS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,01.09.1994,Valais romand,Sion,Député-e,20191213155223
Dominic EGGEL,CVPO,Non/Nein,CVPO,PDC,H,04.11.1969,Haut-Valais,Brig,Député-e,20191213155223
Patrick EVÉQUOZ,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,18.01.1989,Valais romand,Conthey,Député-e suppléant-e,20191213155223
