name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213154211
Valentin AYMON,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213154211
Aristide BAGNOUD,PDCC,Oui/Ja,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213154211
Jasmine BALLAY,PLR,Oui/Ja,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213154211
Benoît BARRAS,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Jérôme BEFFA,CSPO,Oui/Ja,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213154211
Benoît BENDER,PDCB,Oui/Ja,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213154211
Jasmin BERCHTOLD,SVPO,Oui/Ja,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213154211
Charline BERGUERAND,PDCB,Oui/Ja,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213154211
Paul BIFFIGER,SVPO,Oui/Ja,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213154211
Nathalie BINER,SVPO,Oui/Ja,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213154211
Gwénolé BLANCHET,Les Verts,Non/Nein,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Joël BONNARD,PDCC,Oui/Ja,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213154211
Claire-Lise BONVIN,PDCC,Oui/Ja,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213154211
Didier BONVIN,PLR,Oui/Ja,PLR,PLR,H,13.02.1958,Valais romand,Sion,Député-e suppléant-e,20191213154211
Ruth BORNET-STUDER,PLR,Oui/Ja,PLR,PLR,F,08.12.1960,Valais romand,Sion,Député-e suppléant-e,20191213154211
Nino BRUNNER,CVPO,Oui/Ja,CVPO,PDC,H,30.08.1988,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213154211
Blaise CARRON,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,03.04.1974,Valais romand,Monthey,Député-e,20191213154211
Nicole CARRUPT,PLR,Oui/Ja,PLR,PLR,F,10.06.1972,Valais romand,Martigny,Député-e,20191213154211
Alexandre CIPOLLA,UDC,Oui/Ja,UDC,UDC,H,22.11.1982,Valais romand,Monthey,Député-e,20191213154211
Christophe CLAIVAZ,PLR,Oui/Ja,PLR,PLR,H,16.06.1973,Valais romand,Conthey,Député-e,20191213154211
Diego CLAUSEN,CSPO,Oui/Ja,CSPO,PDC,H,20.12.1966,Haut-Valais,Brig,Député-e,20191213154211
Charles CLERC,UDC,Oui/Ja,UDC,UDC,H,29.06.1964,Valais romand,Monthey,Député-e,20191213154211
Mathieu CLERC,Les Verts,Non/Nein,Les Verts,Les Verts,H,29.03.1989,Valais romand,Conthey,Député-e,20191213154211
Sébastien CLERC,PDCB,Oui/Ja,PDCB,PDC,H,26.04.1969,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Bruno CLIVAZ,PDCC,Oui/Ja,PDCC,PDC,H,10.03.1955,Valais romand,Sion,Député-e,20191213154211
David CRETTENAND,PLR,Oui/Ja,PLR,PLR,H,30.04.1976,Valais romand,Martigny,Député-e,20191213154211
Nathalie CRETTON,Les Verts,Non/Nein,Les Verts,Les Verts,F,07.05.1968,Valais romand,Monthey,Député-e,20191213154211
Grégory D'ANDRÈS,PLR,Oui/Ja,PLR,PLR,H,05.10.1983,Valais romand,Sierre,Député-e,20191213154211
Sylvain DÉFAGO,PDCB,Oui/Ja,PDCB,PDC,H,29.03.1982,Valais romand,Monthey,Député-e,20191213154211
Julien DÉLÈZE,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,10.12.1986,Valais romand,Conthey,Député-e,20191213154211
Alexandre DUBUIS,Les Verts,Non/Nein,Les Verts,Les Verts,H,24.06.1985,Valais romand,Sion,Député-e,20191213154211
Julien DUBUIS,PLR,Oui/Ja,PLR,PLR,H,09.03.1970,Valais romand,Sion,Député-e,20191213154211
Margaux DUBUIS,AdG/LA,Non/Nein,AdG/LA,AdG/LA,F,01.09.1994,Valais romand,Sion,Député-e,20191213154211
Dominic EGGEL,CVPO,Oui/Ja,CVPO,PDC,H,04.11.1969,Haut-Valais,Brig,Député-e,20191213154211
Patrick EVÉQUOZ,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,18.01.1989,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Lysiane FELLAY,PLR,Oui/Ja,PLR,PLR,F,13.09.1974,Valais romand,Entremont,Député-e suppléant-e,20191213154211
Serge FELLAY,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,26.10.1960,Valais romand,Martigny,Député-e,20191213154211
Jérôme FOURNIER,Les Verts,Non/Nein,Les Verts,Les Verts,H,11.06.1984,Valais romand,St-Maurice,Député-e suppléant-e,20191213154211
Raphaël FOURNIER,PDCC,Oui/Ja,PDCC,PDC,H,21.08.1966,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Niklaus FURGER,CVPO,Oui/Ja,CVPO,PDC,H,06.04.1953,Haut-Valais,Visp,Député-e,20191213154211
Gaby FUX-BRANTSCHEN,CVPO,Oui/Ja,CVPO,PDC,F,07.04.1964,Haut-Valais,Visp,Député-e,20191213154211
Mathieu GACHNANG,PDCC,Oui/Ja,PDCC,PDC,H,25.09.1983,Valais romand,Sion,Député-e suppléant-e,20191213154211
Ilan GARCIA,UDC,Oui/Ja,UDC,UDC,H,18.02.1990,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Marcel GASPOZ,PDCC,Oui/Ja,PDCC,PDC,H,05.03.1952,Valais romand,Hérens,Député-e,20191213154211
Méryl GENOUD,PLR,Oui/Ja,PLR,PLR,H,08.04.1988,Valais romand,Sierre,Député-e,20191213154211
Vinciane GLASSEY,PDCC,Oui/Ja,PDCC,PDC,F,01.01.1974,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Michael GRABER,SVPO,Oui/Ja,SVPO,UDC,H,03.06.1981,Haut-Valais,Brig,Député-e,20191213154211
Rolet GRUBER,CSPO,Oui/Ja,CSPO,PDC,H,23.06.1954,Haut-Valais,Visp,Député-e,20191213154211
Pierre GUALINO,PDCB,Oui/Ja,PDCB,PDC,H,16.12.1962,Valais romand,Martigny,Député-e,20191213154211
Jean-Pierre GUEX,PDCB,Oui/Ja,PDCB,PDC,H,04.11.1957,Valais romand,Entremont,Député-e,20191213154211
Laetitia HEINZMANN BELLWALD,AdG/LA,Non/Nein,AdG/LA,AdG/LA,F,18.03.1964,Haut-Valais,Visp,Député-e suppléant-e,20191213154211
Alexia HÉRITIER,PDCC,Oui/Ja,PDCC,PDC,F,14.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213154211
Mischa IMBODEN,CVPO,Oui/Ja,CVPO,PDC,H,11.10.1972,Haut-Valais,Brig,Député-e suppléant-e,20191213154211
Daniela IMHOF-JENELTEN,CVPO,Oui/Ja,CVPO,PDC,F,13.01.1972,Haut-Valais,Östlich Raron,Député-e suppléant-e,20191213154211
André IMSTEPF,SVPO,Oui/Ja,SVPO,UDC,H,13.07.1969,Haut-Valais,Brig,Député-e suppléant-e,20191213154211
Lukas JÄGER,SVPO,Oui/Ja,SVPO,UDC,H,15.01.1955,Haut-Valais,Leuk,Député-e,20191213154211
Urs JUON,CVPO,Oui/Ja,CVPO,PDC,H,03.06.1972,Haut-Valais,Visp,Député-e,20191213154211
Martin KALBERMATTER,CSPO,Oui/Ja,CSPO,PDC,H,23.02.1962,Haut-Valais,Westlich Raron,Député-e,20191213154211
Maude KESSI PRAZ,Les Verts,Non/Nein,Les Verts,Les Verts,F,28.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213154211
Manfred KUONEN,CSPO,Oui/Ja,CSPO,PDC,H,28.07.1967,Haut-Valais,Leuk,Député-e suppléant-e,20191213154211
Anthony LAMON,PDCC,Oui/Ja,PDCC,PDC,H,29.03.1984,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Barbara LANTHEMANN,AdG/LA,Non/Nein,AdG/LA,AdG/LA,F,29.05.1965,Valais romand,Martigny,Député-e,20191213154211
Anton LAUBER,CSPO,Oui/Ja,CSPO,PDC,H,24.09.1959,Haut-Valais,Visp,Député-e,20191213154211
Aïda LIPS,UDC,Oui/Ja,UDC,UDC,F,08.10.1987,Valais romand,Martigny,Député-e suppléant-e,20191213154211
Grégory LOGEAN,UDC,Oui/Ja,UDC,UDC,H,13.11.1986,Valais romand,Hérens,Député-e,20191213154211
Sarah LUYET,UDC,Oui/Ja,UDC,UDC,F,19.06.1971,Valais romand,Sion,Député-e suppléant-e,20191213154211
André-Marcel MALBOIS,UDC,Oui/Ja,UDC,UDC,H,31.01.1948,Valais romand,Martigny,Député-e suppléant-e,20191213154211
David MARQUIS,PDCB,Oui/Ja,PDCB,PDC,H,16.05.1988,Valais romand,Entremont,Député-e suppléant-e,20191213154211
Gervaise MARQUIS,PLR,Oui/Ja,PLR,PLR,F,15.12.1965,Valais romand,Entremont,Député-e,20191213154211
Sylvie MASSEREY ANSELIN,PLR,Oui/Ja,PLR,PLR,F,05.09.1976,Valais romand,Sierre,Député-e,20191213154211
Benno MEICHTRY,CVPO,Oui/Ja,CVPO,PDC,H,12.01.1963,Haut-Valais,Leuk,Député-e,20191213154211
Robert MÉTRAILLER,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,31.05.1960,Valais romand,Sierre,Député-e,20191213154211
Delphine MICHAUD,PDCB,Oui/Ja,PDCB,PDC,F,26.05.1980,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Audrey MICHELET,PDCC,Oui/Ja,PDCC,PDC,F,07.04.1993,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Maxime MOIX,PDCC,Oui/Ja,PDCC,PDC,H,14.04.1996,Valais romand,Conthey,Député-e suppléant-e,20191213154211
