name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213155406
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213155406
Valentin AYMON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213155406
Aristide BAGNOUD,PDCC,Non/Nein,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213155406
Jasmine BALLAY,PLR,Oui/Ja,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213155406
Benoît BARRAS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213155406
Jérôme BEFFA,CSPO,Non/Nein,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213155406
Benoît BENDER,PDCB,Non/Nein,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213155406
Jasmin BERCHTOLD,SVPO,Non/Nein,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213155406
Charline BERGUERAND,PDCB,Non/Nein,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213155406
Paul BIFFIGER,SVPO,Non/Nein,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213155406
Nathalie BINER,SVPO,Non/Nein,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213155406
Gwénolé BLANCHET,Les Verts,Oui/Ja,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213155406
Joël BONNARD,PDCC,Non/Nein,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213155406
Claire-Lise BONVIN,PDCC,Oui/Ja,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213155406
